id,Hardness,allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average
0,6.0,98.0,8.885992,10.8,4.8,21.654418,11.17714,2.675,1.736,0.926,0.498984,0.94589
1,2.5,126.0,13.556992,25.2,4.8,58.30341800000001,11.61422,2.764,1.7630000000000003,0.9559999999999998,0.475954,3.52219
2,5.5,108.0,21.153992,10.4,4.8,21.9893120372,11.0881,2.7996,1.7880000000000005,0.944,0.48502,0.8229
3,5.8,92.0,19.92,31.33333333333333,4.333333333333333,69.59212799999999,9.4533,1.9866666666666664,1.913333333333333,1.19,0.4488266666666667,6.17571
4,2.0,202.0,22.81264,23.8,5.6,49.204038,10.13144,2.352,1.908,1.104,0.475566,2.0416
5,6.0,20.0,2.3326640000000003,10.0,4.8,20.9940862215,11.47577,2.72,1.7630000000000003,0.905,0.492719,0.8045
6,6.0,100.0,0.973995,10.0,4.8,20.213348778,10.833850000000002,2.764,1.735,0.905,0.48855,0.98478
7,6.0,106.0,11.463996000000002,15.6,4.8,34.72421799999999,10.987245,2.53,1.8590000000000004,0.979,0.485063,1.17448
8,1.8,30.0,1.7401675,4.666666666666667,3.0,8.773226666666666,13.51252,2.7883333333333336,1.336666666666667,0.6166666666666667,0.6598700000000001,0.6415
9,2.5,134.0,13.053996,22.0,4.0,47.8025,9.1302,2.165,1.904,1.1800000000000002,0.4743239999999999,2.4836
10,5.0,60.0,9.93196,20.0,4.0,40.689515,9.1985,2.545,1.925,0.945,0.4775399999999999,3.11002
11,3.8,92.0,6.25674375,9.2,4.8,18.439538,11.10535,2.7960000000000003,1.574375,0.8480000000000001,0.4927989999999999,0.75796
12,3.0,30.0,1.7401675,7.4,4.0,15.69310028,12.0034,2.67,1.495,0.728,0.5559728000000002,0.27146
13,6.0,192.0,15.78748,8.0,4.8,17.774554444444444,11.14446,2.72,1.6364,0.8649999999999999,0.4927359999999999,1.86069
14,1.5,100.0,7.558488000000001,10.0,4.8,20.2988926326,12.04083,2.865,1.625,0.8525,0.492719,0.75585
15,5.5,150.0,11.206324,14.25,4.333333333333333,30.645953666333327,10.8425375,2.775,1.6975,0.925,0.4796891666666667,0.47413
16,2.0,30.0,2.707996,10.0,4.8,20.016938,11.64556,2.774,1.714,0.882,0.499726,0.6508
17,6.0,98.0,8.9728255,9.0,4.8,19.8565257,11.28095,2.857,1.7630000000000003,0.92,0.4927989999999999,0.82753
18,5.5,100.0,5.876907999999999,10.0,4.8,20.492449117625004,10.999625,2.58,1.7420000000000002,0.96,0.49954,0.77755
19,6.3,128.0,20.415992000000006,12.8,4.8,26.385218,11.38168,2.81,1.7400000000000002,0.86,0.49282,0.8488
20,1.8,64.0,9.133,32.0,5.6,72.2365,9.1302,2.352,1.904,1.1840000000000002,0.475566,4.4815
21,5.5,362.0,4.5453280000000005,18.0,4.0,37.346215,11.23408,2.675,1.775,0.945,0.479405,1.775
22,6.3,60.0,4.5453280000000005,10.0,4.4,20.3920334,10.776008333333332,2.4891666666666663,1.823333333333334,0.965,0.4927359999999999,0.80479
23,2.5,184.0,40.61,30.75,5.0,66.8074975,9.695,1.985,1.8875,1.1275,0.447885,6.77567
24,2.5,96.0,8.903332,24.0,4.0,49.496,10.39875,2.24,1.88,1.1800000000000002,0.4789899999999999,2.94712
25,1.8,222.0,24.150564000000003,22.4,5.6,49.204038,12.046624,2.3080000000000003,1.908,0.958,0.475954,3.26959
26,2.8,126.0,13.477328,26.0,4.5,53.4902975,10.5174,2.645,1.77,0.9825,0.4494728571428572,3.87311
27,2.8,246.0,26.090000000000003,15.2,4.4,31.937418,12.22274,2.8680000000000003,1.5759999999999998,0.728,0.5570996000000001,2.18789
28,4.0,30.0,1.7428315,10.0,4.0,20.212725,11.522283333333334,2.63439024390244,1.6470731707317074,0.9647073170731707,0.4943858536585365,0.8117
29,5.5,74.0,14.22,24.66666666666667,4.0,53.05033333333333,9.072366666666667,1.95,1.913333333333333,1.16,0.4488266666666667,4.72
30,2.5,222.0,24.574384,7.4,4.16,14.610803,12.082260000000002,2.6362499999999995,1.592,0.7152,0.5743408000000001,0.5639
31,5.5,80.0,9.014328,11.333333333333336,4.666666666666667,22.757818791666665,11.5267,2.599166666666666,1.7135,0.8933333333333332,0.4990741666666666,0.7958
32,6.5,30.0,2.3326640000000003,10.0,4.333333333333333,20.492449117625004,10.686195833333334,2.33,1.9433333333333327,0.9266666666666667,0.49954,0.77755
33,2.5,42.0,7.4428315,6.5,3.5,11.99058333333333,12.18425,2.495,1.495,0.71,0.6184925,0.6795
34,3.3,128.0,13.883996,15.2,5.6,32.059,11.38168,2.8280000000000003,1.662,0.882,0.49282,2.28126
35,2.3,102.0,7.558488000000001,10.4,5.2,20.2988926326,12.04083,2.752,1.7880000000000005,0.928,0.4927989999999999,0.73241
36,5.5,68.0,8.841328,11.333333333333336,4.333333333333333,22.68885333333333,11.771733333333335,2.8816666666666664,1.7166666666666668,0.9533333333333333,0.4729766666666666,1.2188
37,5.5,108.0,11.351332,9.2,4.8,20.2988926326,12.04083,2.754,1.6310000000000002,0.86,0.4927189999999999,1.11572
38,5.5,58.0,9.44,14.4,4.8,30.341818,11.38168,2.81,1.7400000000000002,0.86,0.49282,1.00669
39,2.5,278.0,44.191,39.5,5.3,93.78445,9.273855,2.279,1.907,1.265,0.457149,9.54775
40,5.3,36.0,1.815328000000002,18.0,4.0,36.0685,10.39875,2.24,1.9075,1.13,0.4775399999999999,1.96255
41,2.8,284.0,44.191,40.57142857142857,3.4285714285714284,93.96814285714288,8.932974999999997,2.2742857142857145,1.9085714285714288,1.2,0.4568033333333333,6.77608
42,6.8,100.0,7.558488,10.0,4.8,20.2988926326,12.04083,2.766,1.682,0.936,0.492719,0.82082
43,4.8,222.0,43.23,22.33333333333333,5.0,54.01963666666666,11.180966666666668,2.8316666666666666,1.7233333333333334,0.9116666666666668,0.474655,2.94712
44,2.5,311.0,47.231992,41.0,4.0,103.49857999999998,9.92285,2.3816666666666664,1.9433333333333327,1.11,0.4675316666666667,4.7232
45,5.5,50.0,4.243996,10.0,4.8,20.213348778,11.33044,2.774,1.6309999999999998,0.91,0.492719,0.75893
46,1.5,36.0,9.133,18.0,4.0,37.346215,8.21315,1.95,2.04,1.41,0.47857,4.72
47,7.0,100.0,7.441332000000001,10.0,4.0,20.0468,11.33044,2.705,1.7,0.8959999999999999,0.499,0.70884
48,2.5,126.0,13.385996,25.0,4.0,58.30341800000001,11.1479375,2.545,1.785,0.945,0.476095,2.37558
49,7.5,30.0,7.734660000000001,10.0,4.0,20.255278375,11.026725,2.79,1.6725,0.8525,0.495275,1.70155
50,5.8,226.0,0.8116996130952381,10.571428571428571,4.761904761904762,21.72522707142857,11.522428571428572,2.77952380952381,1.7147619047619052,0.8676190476190477,0.5148823809523809,0.8117
51,2.3,188.0,30.655328,31.33333333333333,5.0,75.83935333333334,11.82415,2.4133333333333336,1.8166666666666669,1.0266666666666666,0.4663883333333334,5.118
52,3.0,92.0,5.439908,9.2,4.0,18.439538,11.79886,2.805,1.656,0.8480000000000001,0.4912240000000001,0.8059
53,2.0,214.0,26.092,42.8,5.6,102.82756,9.1302,2.3080000000000003,1.908,1.224,0.45825,1.24533
54,3.5,88.0,12.417996,13.6,4.8,27.1647257,10.0743,2.8680000000000003,1.7020000000000004,0.96,0.490654,1.2398
55,1.5,36.0,0.0,18.0,4.0,36.0685,9.01375,2.295,1.9,1.29,0.499,0.0
56,3.8,92.0,6.697992,9.2,4.8,18.439538,11.79886,2.884,1.662,0.792,0.4991960000000001,0.58991
57,1.8,220.0,24.574384,24.66666666666667,4.333333333333333,53.356,9.101866666666666,2.3080000000000003,1.9072,1.2133333333333332,0.474714,0.85549
58,6.0,120.0,13.255996,12.2,4.8,24.789618,11.33044,2.7060000000000004,1.6980000000000002,0.892,0.498454,1.69886
59,6.0,33.0,7.4426640000000015,19.33333333333333,4.666666666666667,39.987666666666655,11.373216666666664,2.7566666666666664,1.7700000000000002,0.98,0.4878333333333333,1.15072
60,6.3,82.0,9.143996,14.6,5.0,31.574635600000004,11.14446,2.684,1.8200000000000005,0.8200000000000001,0.4820359999999999,1.4092
61,2.5,106.0,13.385996,16.5,4.7,35.468537,11.1994,2.752,1.7880000000000005,0.946,0.489486,1.43926
62,5.8,42.0,7.143328,12.5,4.7,24.556188775,11.14446,2.7380000000000004,1.7420000000000002,0.9,0.48502,1.26278
63,3.5,108.0,8.228992,10.8,4.8,21.593638,11.46526,2.752,1.7880000000000005,0.946,0.4907199999999999,0.72489
64,2.5,96.0,15.43,48.0,4.0,116.3255,10.39875,2.295,2.0975,1.36,0.4315125,3.56717
65,3.0,140.0,9.892323,7.777777777777778,4.0,15.394590555555556,12.01102777777778,2.725,1.4811111111111108,0.6977777777777777,0.61443,0.75249
66,3.5,98.0,8.885992,9.0,4.0,18.5863611398,12.63188,2.8480000000000003,1.656,0.8480000000000001,0.4991960000000001,1.06784
67,6.0,100.0,0.494258,10.0,4.8,20.213348778,10.91369,2.698,1.743,0.8959999999999999,0.495736,0.8135
68,2.3,30.0,1.55316,10.0,4.666666666666667,20.185395713333328,13.54915,2.6495,1.7266666666666666,0.956,0.474655,0.33885
69,2.3,144.0,36.025984,36.0,4.0,90.2267,8.2366,2.24,2.015,1.1800000000000002,0.448895,7.98667
70,6.0,114.0,7.957992,11.3,4.7,23.033434166666662,11.184466666666664,2.8280000000000003,1.711666666666667,0.9229999999999998,0.4819691666666667,1.07443
71,6.3,110.0,23.0,48.0,4.0,116.3255,10.39875,2.24,2.015,1.1800000000000002,0.448895,7.66667
72,3.0,60.0,4.663996,21.0,5.333333333333333,50.46236066666666,11.6284,2.9466666666666668,1.7700000000000002,0.985,0.4878333333333333,0.47413
73,2.5,78.0,5.876907999999999,13.0,4.666666666666667,27.44881366633333,10.5015125,2.25375,1.86625,1.1275,0.4927359999999999,1.3459
74,3.8,114.0,13.925328000000002,22.0,5.0,47.98568666666667,11.38881,2.545,1.765,0.965,0.4767116666666666,3.1504
75,5.5,108.0,3.553996,9.2,4.8,18.439538,11.1479375,2.752,1.626,0.8480000000000001,0.491678,0.91543
76,6.0,60.0,4.907327,10.0,4.8,20.833018,10.9485,2.7030000000000003,1.6980000000000002,0.866,0.495329,0.89374
77,1.5,50.0,3.253996,10.0,4.8,20.016938,11.64556,2.774,1.714,0.882,0.499726,0.85007
78,2.3,126.0,13.385996,25.2,5.0,58.30341800000001,11.61422,2.884,1.736,0.944,0.467568,2.65644
79,6.0,100.0,8.147992,10.0,4.8,20.077018,11.33044,2.7060000000000004,1.6780000000000002,0.892,0.498454,1.07245
80,5.5,100.0,7.558488000000001,10.0,4.8,20.3920334,11.0881,2.502,1.7080000000000002,0.951,0.49901,0.75041
81,5.5,129.48000000000002,16.676996,49.48,4.44,49.204038,11.177555000000002,2.8480000000000003,1.855,1.11,0.447885,6.31755
82,5.5,80.0,11.874,13.333333333333336,4.0,27.44881366633333,9.0432,2.33,1.88,1.14,0.491678,1.2188
83,5.8,256.0,27.104327,16.5,4.125,32.38773899975,11.2520375,2.78,1.79,0.9825,0.4826418750000001,0.87554
84,5.5,78.0,6.32407475,13.2,4.666666666666667,27.44881366633333,11.488466666666667,2.8316666666666666,1.662,0.92,0.4767116666666666,1.6334
85,6.0,108.0,7.957992,10.8,4.8,21.654418,11.17714,2.755,1.736,0.9259999999999998,0.498984,0.56731
86,6.0,100.0,8.147992,10.0,4.8,20.3920334,11.33044,2.805,1.705,0.892,0.498984,0.82082
87,3.8,100.0,15.604,23.0,4.0,49.224449375000006,9.300333333333333,2.2533333333333334,1.9433333333333327,1.1366666666666667,0.47857,2.8386
88,2.5,46.0,23.0,23.0,4.0,48.7195,9.8771,2.24,1.904,1.165,0.47888,2.2928
89,2.5,78.0,11.35599,27.6,5.0,64.9132175,11.23408,2.845,1.7380000000000002,0.945,0.4673040000000001,2.53985
90,2.8,228.0,25.494,44.0,4.0,108.295515,9.072366666666667,2.2225,1.913333333333333,1.16,0.4269199999999999,5.0988
